X	Predicted.sequence.orientation	Kingdom	Kingdom.certainty	Phylum	Phylum.certainty	Class	Class.certainty	Order	Order.certainty	Family	Family.certainty	Genus	Genus.certainty	Species	Species.certainty
ASV_2255	-	Fungi	100%	Ascomycota	96%	Dothideomycetes	42%	Dothideomycetes_unidentified	40%	Dothideomycetes_unidentified_1	40%	Dothideomycetes_unidentified_1	40%	Dothideomycetes_sp|SH216443.06FU	40%
ASV_2256	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	75%	Mortierella	75%	Mortierella_sp_ATT116|SH218048.06FU	43%
ASV_2257	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	89%
ASV_2258	-	Fungi	100%	Zygomycota	63%	Incertae_sedis_10	63%	Mortierellales	63%	Mortierellaceae	63%	Mortierella	63%	Mortierella_sp|SH214852.06FU	49%
ASV_2259	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	88%
ASV_2260	+	Fungi	100%	Ascomycota	97%	Sordariomycetes	93%	Hypocreales	91%	Nectriaceae	39%	Gibberella	29%	Gibberella_baccata|SH219474.06FU	29%
ASV_2261	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_2262	-	Fungi	100%	Ascomycota	99%	Dothideomycetes	73%	Dothideomycetes_unidentified	73%	Dothideomycetes_unidentified_1	73%	Dothideomycetes_unidentified_1	73%	Dothideomycetes_sp|SH216443.06FU	73%
ASV_2263	+	Fungi	100%	Ascomycota	93%	Dothideomycetes	44%	Dothideomycetes_unidentified	44%	Dothideomycetes_unidentified_1	44%	Dothideomycetes_unidentified_1	44%	Dothideomycetes_sp|SH216443.06FU	44%
ASV_2264	-	Fungi	100%	Ascomycota	18%	Eurotiomycetes	8%	Pyrenulales	8%	Massariaceae	8%	Massaria	8%	Massaria_aucupariae|SH240306.06FU	8%
ASV_2265	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	76%	Mortierella	76%	Mortierella_sp_ATT116|SH218048.06FU	40%
ASV_2266	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_2267	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	94%
ASV_2268	-	Fungi	100%	Ascomycota	88%	Dothideomycetes	79%	Pleosporales	79%	Phaeosphaeriaceae	64%	Phaeosphaeriaceae_unidentified	60%	Phaeosphaeriaceae_sp|SH227811.06FU	58%
ASV_2269	-	Fungi	100%	Ascomycota	99%	Dothideomycetes	72%	Dothideomycetes_unidentified	72%	Dothideomycetes_unidentified_1	72%	Dothideomycetes_unidentified_1	72%	Dothideomycetes_sp|SH216443.06FU	72%
ASV_2270	-	Fungi	100%	Ascomycota	100%	Dothideomycetes	100%	Dothideales	100%	Dothioraceae	100%	Aureobasidium	100%	Aureobasidium_pullulans|SH206631.06FU	69%
ASV_2271	+	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Hypocreales	100%	Hypocreales_unidentified	100%	Hypocreales_unidentified_1	100%	Hypocreales_sp|SH223287.06FU	100%
ASV_2272	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	74%	Mortierella	74%	Mortierella_sp_ATT116|SH218048.06FU	43%
ASV_2273	-	Fungi	100%	Ascomycota	99%	Sordariomycetes	79%	Sordariales	79%	Lasiosphaeriaceae	79%	Podospora	79%	Podospora_sp|SH223422.06FU	49%
ASV_2274	+	Fungi	100%	Ascomycota	82%	Sordariomycetes	82%	Incertae_sedis_7	47%	Plectosphaerellaceae	47%	Gibellulopsis	47%	Gibellulopsis_sp_YH_2012|SH219656.06FU	47%
ASV_2275	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	85%
ASV_2276	+	Fungi	100%	Fungi_unidentified	61%	Fungi_unidentified_1	61%	Fungi_unidentified_1	61%	Fungi_unidentified_1_1	61%	Fungi_unidentified_1_1	61%	Fungi_sp|SH196428.06FU	59%
