X	Predicted.sequence.orientation	Kingdom	Kingdom.certainty	Phylum	Phylum.certainty	Class	Class.certainty	Order	Order.certainty	Family	Family.certainty	Genus	Genus.certainty	Species	Species.certainty
ASV_8443	+	Fungi	100%	Ascomycota	95%	Sordariomycetes	90%	Hypocreales	89%	Hypocreales_unidentified	48%	Hypocreales_unidentified_1	48%	Hypocreales_sp|SH217380.06FU	46%
ASV_8444	-	Fungi	100%	Fungi_unidentified	97%	Fungi_unidentified_1	97%	Fungi_unidentified_1	97%	Fungi_unidentified_1_1	97%	Fungi_unidentified_1_1	97%	Fungi_sp|SH195711.06FU	51%
ASV_8445	+	Fungi	100%	Basidiomycota	97%	Agaricomycetes	97%	Agaricales	97%	Psathyrellaceae	97%	Coprinellus	97%	Coprinellus_sp|SH199708.06FU	87%
ASV_8446	+	Fungi	100%	Ascomycota	84%	Ascomycota_unidentified	80%	Ascomycota_unidentified_1	80%	Ascomycota_unidentified_1	80%	Ascomycota_unidentified_1_1	80%	Ascomycota_sp|SH213439.06FU	80%
ASV_8447	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	88%
ASV_8448	+	Fungi	100%	Zygomycota	51%	Incertae_sedis_10	51%	Mortierellales	51%	Mortierellaceae	51%	Mortierella	51%	Mortierella_sp|SH214852.06FU	48%
ASV_8449	+	Fungi	100%	Ascomycota	100%	Dothideomycetes	100%	Pleosporales	100%	Corynesporascaceae	100%	Corynespora	100%	Corynespora_cassiicola|SH223214.06FU	99%
ASV_8450	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_8451	-	Fungi	100%	Basidiomycota	98%	Agaricomycetes	98%	Corticiales	97%	Corticiaceae	97%	Waitea	97%	Rhizoctonia_zeae|SH211230.06FU	97%
ASV_8452	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Corticiales	98%	Corticiaceae	98%	Waitea	98%	Rhizoctonia_zeae|SH211230.06FU	98%
ASV_8453	-	Fungi	100%	Fungi_unidentified	57%	Fungi_unidentified_1	57%	Fungi_unidentified_1	57%	Fungi_unidentified_1_1	57%	Fungi_unidentified_1_1	57%	Fungi_sp|SH217408.06FU	50%
ASV_8454	-	Fungi	100%	Ascomycota	49%	Sordariomycetes	37%	Sordariales	33%	Lasiosphaeriaceae	33%	Podospora	33%	Podospora_sp|SH222477.06FU	33%
ASV_8455	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Bolbitiaceae	100%	Conocybe	100%	Conocybe_crispa|SH208914.06FU	99%
ASV_8456	-	Fungi	100%	Ascomycota	74%	Dothideomycetes	25%	Pleosporales	22%	Pleosporales_unidentified	6%	Pleosporales_unidentified_1	6%	Pleosporales_sp|SH240081.06FU	6%
ASV_8457	+	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Sordariales	100%	Lasiosphaeriaceae	100%	Lasiosphaeriaceae_unidentified	100%	Lasiosphaeriaceae_sp|SH238403.06FU	100%
ASV_8458	-	Fungi	100%	Ascomycota	99%	Sordariomycetes	99%	Hypocreales	99%	Hypocreales_unidentified	76%	Hypocreales_unidentified_1	76%	Hypocreales_sp|SH233685.06FU	76%
ASV_8459	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Incertae_sedis_24	100%	Minimedusa	100%	Minimedusa_sp|SH221764.06FU	65%
ASV_8460	-	Fungi	100%	Ascomycota	74%	Ascomycota_unidentified	39%	Ascomycota_unidentified_1	39%	Ascomycota_unidentified_1	39%	Ascomycota_unidentified_1_1	39%	Ascomycota_sp|SH222046.06FU	39%
ASV_8461	-	Fungi	100%	Fungi_unidentified	60%	Fungi_unidentified_1	60%	Fungi_unidentified_1	60%	Fungi_unidentified_1_1	60%	Fungi_unidentified_1_1	60%	Fungi_sp|SH239097.06FU	38%
ASV_8462	+	Fungi	100%	Ascomycota	99%	Eurotiomycetes	97%	Eurotiales	97%	Trichocomaceae	97%	Talaromyces	41%	Talaromyces_aurantiacus|SH225874.06FU	31%
ASV_8463	-	Fungi	100%	Ascomycota	100%	Sordariomycetes	98%	Sordariomycetes_unidentified	87%	Sordariomycetes_unidentified_1	87%	Sordariomycetes_unidentified_1	87%	Sordariomycetes_sp|SH233630.06FU	87%
ASV_8464	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	100%	Mortierella	98%	Mortierella_sp|SH217983.06FU	55%
ASV_8465	-	Fungi	100%	Ascomycota	71%	Dothideomycetes	62%	Pleosporales	62%	Incertae_sedis_13	62%	Phoma	50%	Phoma_sp_P17E3|SH202157.06FU	32%
ASV_8466	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_8467	+	Fungi	100%	Fungi_unidentified	43%	Fungi_unidentified_1	43%	Fungi_unidentified_1	43%	Fungi_unidentified_1_1	43%	Fungi_unidentified_1_1	43%	Fungi_sp|SH196428.06FU	38%
ASV_8468	-	Fungi	100%	Ascomycota	89%	Dothideomycetes	79%	Pleosporales	79%	Pleosporales_unidentified	74%	Pleosporales_unidentified_1	74%	Pleosporales_sp|SH194665.06FU	74%
ASV_8469	-	Fungi	100%	Basidiomycota	94%	Tremellomycetes	93%	Tremellales	93%	Incertae_sedis_12	87%	Cryptococcus_1	87%	Cryptococcus_sp|SH198059.06FU	86%
ASV_8470	+	Fungi	100%	Fungi_unidentified	22%	Fungi_unidentified_1	22%	Fungi_unidentified_1	22%	Fungi_unidentified_1_1	22%	Fungi_unidentified_1_1	22%	Fungi_sp|SH216943.06FU	21%
ASV_8471	+	Fungi	100%	Ascomycota	99%	Sordariomycetes	78%	Sordariales	62%	Lasiosphaeriaceae	62%	Lasiosphaeria	47%	Lasiosphaeria_glabrata|SH210817.06FU	47%
ASV_8472	-	Fungi	100%	Chytridiomycota	71%	Chytridiomycota_unidentified	67%	Chytridiomycota_unidentified_1	67%	Chytridiomycota_unidentified_1	67%	Chytridiomycota_unidentified_1_1	67%	Chytridiomycota_sp|SH230542.06FU	52%
ASV_8473	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Agaricaceae	100%	Cyathus	100%	Cyathus_stercoreus|SH189899.06FU	100%
ASV_8474	-	Fungi	100%	Ascomycota	88%	Sordariomycetes	61%	Hypocreales	35%	Ophiocordycipitaceae	24%	Ophiocordyceps	14%	Ophiocordyceps_rubiginosiperitheciata|SH227646.06FU	11%
ASV_8475	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_8476	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_8477	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_8478	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_8479	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_8480	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	87%
ASV_8481	-	Fungi	100%	Fungi_unidentified	46%	Fungi_unidentified_1	46%	Fungi_unidentified_1	46%	Fungi_unidentified_1_1	46%	Fungi_unidentified_1_1	46%	Fungi_sp|SH194666.06FU	41%
ASV_8482	+	Fungi	100%	Ascomycota	99%	Sordariomycetes	90%	Sordariales	89%	Chaetomiaceae	77%	Chaetomium	77%	Chaetomium_globosum|SH234979.06FU	63%
ASV_8483	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Psathyrella	97%	Psathyrella_potteri|SH199706.06FU	97%
ASV_8484	-	Fungi	100%	Fungi_unidentified	56%	Fungi_unidentified_1	56%	Fungi_unidentified_1	56%	Fungi_unidentified_1_1	56%	Fungi_unidentified_1_1	56%	Fungi_sp|SH239097.06FU	31%
ASV_8485	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_8486	+	Fungi	100%	Basidiomycota	98%	Agaricomycetes	98%	Agaricales	98%	Psathyrellaceae	98%	Coprinellus	98%	Coprinellus_sp|SH199708.06FU	89%
ASV_8487	+	Fungi	100%	Basidiomycota	95%	Agaricomycetes	95%	Agaricales	95%	Psathyrellaceae	95%	Coprinellus	95%	Coprinellus_sp|SH199708.06FU	86%
ASV_8488	+	Fungi	100%	Basidiomycota	94%	Agaricomycetes	92%	Cantharellales	90%	Ceratobasidiaceae	90%	Thanatephorus	80%	Thanatephorus_cucumeris|SH207643.06FU	41%
ASV_8489	+	Fungi	100%	Ascomycota	100%	Pezizomycetes	100%	Pezizales	100%	Ascobolaceae	100%	Ascobolus	100%	Ascobolus_sp|SH226965.06FU	100%
ASV_8490	+	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Diaporthales	93%	Diaporthaceae	92%	Phomopsis	59%	Phomopsis_sp|SH194805.06FU	43%
ASV_8491	-	Fungi	100%	Ascomycota	56%	Saccharomycetes	23%	Saccharomycetales	23%	Saccharomycetaceae	22%	Naumovozyma	22%	Naumovozyma_sp_QMW_2012|SH236489.06FU	22%
ASV_8492	-	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Sordariales	100%	Lasiosphaeriaceae	100%	Cladorrhinum	100%	Cladorrhinum_phialophoroides|SH230892.06FU	100%
ASV_8493	-	Fungi	100%	Fungi_unidentified	96%	Fungi_unidentified_1	96%	Fungi_unidentified_1	96%	Fungi_unidentified_1_1	96%	Fungi_unidentified_1_1	96%	Fungi_sp|SH240155.06FU	96%
ASV_8494	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	80%	Mortierella	80%	Mortierella_sp_ATT116|SH218048.06FU	40%
ASV_8495	+	Fungi	100%	Ascomycota	75%	Dothideomycetes	23%	Pleosporales	21%	Pleosporales_unidentified	10%	Pleosporales_unidentified_1	10%	Pleosporales_sp|SH240081.06FU	8%
ASV_8496	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Thelephorales	99%	Thelephoraceae	99%	Amaurodon	99%	Amaurodon_mustialaensis|SH227693.06FU	99%
ASV_8497	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Thelephorales	98%	Thelephoraceae	98%	Amaurodon	98%	Amaurodon_mustialaensis|SH227693.06FU	98%
ASV_8498	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Thelephorales	98%	Thelephoraceae	98%	Amaurodon	98%	Amaurodon_mustialaensis|SH227693.06FU	98%
ASV_8499	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	97%	Thelephorales	97%	Thelephoraceae	97%	Amaurodon	97%	Amaurodon_mustialaensis|SH227693.06FU	97%
ASV_8500	+	Fungi	100%	Basidiomycota	97%	Agaricomycetes	95%	Cantharellales	95%	Ceratobasidiaceae	95%	Thanatephorus	82%	Thanatephorus_cucumeris|SH237905.06FU	35%
ASV_8501	+	Fungi	100%	Ascomycota	100%	Dothideomycetes	100%	Dothideales	100%	Dothioraceae	100%	Aureobasidium	100%	Aureobasidium_pullulans|SH206631.06FU	59%
ASV_8502	-	Fungi	100%	Basidiomycota	85%	Tremellomycetes	71%	Cystofilobasidiales	67%	Cystofilobasidiaceae	67%	Guehomyces	53%	Guehomyces_pullulans|SH215066.06FU	53%
ASV_8503	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	97%	Agaricales	96%	Strophariaceae	84%	Psilocybe	84%	Psilocybe_cf_subviscida/crobula_X_45|SH218689.06FU	83%
ASV_8504	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_8505	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_8506	+	Fungi	100%	Ascomycota	89%	Ascomycota_unidentified	12%	Ascomycota_unidentified_1	12%	Ascomycota_unidentified_1	12%	Ascomycota_unidentified_1_1	12%	Ascomycota_sp|SH223423.06FU	11%
ASV_8507	-	Fungi	100%	Basidiomycota	96%	Tremellomycetes	95%	Tremellales	95%	Incertae_sedis_12	63%	Cryptococcus_1	60%	Cryptococcus_sp|SH198056.06FU	53%
ASV_8508	+	Fungi	100%	Basidiomycota	98%	Agaricomycetes	97%	Cantharellales	96%	Ceratobasidiaceae	95%	Thanatephorus	79%	Thanatephorus_cucumeris|SH207643.06FU	42%
ASV_8509	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	97%
ASV_8510	+	Fungi	100%	Basidiomycota	48%	Microbotryomycetes	8%	Sporidiobolales	8%	Incertae_sedis_25	8%	Rhodotorula	8%	Rhodotorula_lamellibrachiae|SH227552.06FU	8%
ASV_8511	-	Fungi	100%	Ascomycota	100%	Sordariomycetes	97%	Sordariales	90%	Lasiosphaeriaceae	90%	Lasiosphaeriaceae_unidentified	71%	Lasiosphaeriaceae_sp|SH223698.06FU	51%
ASV_8512	+	Fungi	100%	Zygomycota	80%	Incertae_sedis_10	80%	Mortierellales	80%	Mortierellaceae	80%	Mortierella	80%	Mortierella_alpina|SH211072.06FU	14%
ASV_8513	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_8514	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_8515	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	89%
ASV_8516	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	92%
ASV_8517	-	Fungi	100%	Fungi_unidentified	59%	Fungi_unidentified_1	59%	Fungi_unidentified_1	59%	Fungi_unidentified_1_1	59%	Fungi_unidentified_1_1	59%	Fungi_sp|SH239097.06FU	49%
ASV_8518	-	Fungi	100%	Ascomycota	100%	Sordariomycetes	99%	Hypocreales	99%	Hypocreales_unidentified	99%	Hypocreales_unidentified_1	99%	Hypocreales_sp|SH223287.06FU	99%
ASV_8519	+	Fungi	100%	Ascomycota	100%	Sordariomycetes	99%	Hypocreales	99%	Hypocreales_unidentified	73%	Hypocreales_unidentified_1	73%	Hypocreales_sp|SH233685.06FU	73%
ASV_8520	+	Fungi	100%	Ascomycota	100%	Sordariomycetes	70%	Chaetosphaeriales	70%	Chaetosphaeriaceae	70%	Chaetosphaeria	65%	Chaetosphaeria_sp|SH234443.06FU	60%
ASV_8521	-	Fungi	100%	Basidiomycota	67%	Agaricomycetes	63%	Agaricales	29%	Cortinariaceae	21%	Cortinarius	20%	Cortinarius_tubarius|SH192031.06FU	8%
ASV_8522	-	Fungi	99%	Ascomycota	97%	Sordariomycetes	91%	Sordariomycetes_unidentified	87%	Sordariomycetes_unidentified_1	87%	Sordariomycetes_unidentified_1	87%	Sordariomycetes_sp|SH233630.06FU	87%
ASV_8523	-	Fungi	100%	Ascomycota	90%	Dothideomycetes	80%	Pleosporales	72%	Sporormiaceae	70%	Sporormiaceae_unidentified	33%	Sporormiaceae_sp|SH190502.06FU	33%
ASV_8524	-	Fungi	98%	Ascomycota	48%	Incertae_sedis_14	31%	Incertae_sedis_15	31%	Incertae_sedis_16	31%	Knufia	26%	Knufia_perforans|SH209750.06FU	26%
ASV_8525	-	Fungi	100%	Ascomycota	100%	Pezizomycetes	100%	Pezizales	100%	Pezizaceae	100%	Peziza	100%	Peziza_buxea|SH189955.06FU	100%
ASV_8526	+	Fungi	100%	Ascomycota	100%	Eurotiomycetes	100%	Eurotiales	100%	Trichocomaceae	100%	Penicillium	66%	Penicillium_verruculosum|SH225875.06FU	39%
ASV_8527	+	Fungi	100%	Ascomycota	100%	Leotiomycetes	100%	Helotiales	100%	Incertae_sedis_2	96%	Glarea	96%	Glarea_sp|SH203834.06FU	96%
ASV_8528	-	Fungi	100%	Ascomycota	95%	Dothideomycetes	92%	Dothideomycetes_unidentified	92%	Dothideomycetes_unidentified_1	92%	Dothideomycetes_unidentified_1	92%	Dothideomycetes_sp|SH194657.06FU	88%
ASV_8529	-	Fungi	100%	Ascomycota	94%	Dothideomycetes	82%	Pleosporales	74%	Sporormiaceae	72%	Preussia	52%	Preussia_sp_4985|SH190512.06FU	33%
ASV_8530	-	Fungi	100%	Zygomycota	97%	Incertae_sedis_10	97%	Mortierellales	97%	Mortierellaceae	96%	Mortierella	96%	Mortierella_sp|SH228359.06FU	85%
ASV_8531	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Agaricales_unidentified	76%	Agaricales_unidentified_1	76%	Agaricales_sp|SH201474.06FU	76%
ASV_8532	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Agaricales_unidentified	72%	Agaricales_unidentified_1	72%	Agaricales_sp|SH201474.06FU	72%
ASV_8533	+	Fungi	100%	Basidiomycota	85%	Microbotryomycetes	13%	Sporidiobolales	13%	Incertae_sedis_25	13%	Rhodotorula	13%	Rhodotorula_lamellibrachiae|SH227552.06FU	13%
ASV_8534	+	Fungi	100%	Ascomycota	30%	Sordariomycetes	22%	Sordariales	21%	Lasiosphaeriaceae	21%	Podospora	21%	Podospora_sp|SH222477.06FU	21%
ASV_8535	-	Fungi	100%	Basidiomycota	83%	Agaricomycetes	77%	Agaricomycetes_unidentified	32%	Agaricomycetes_unidentified_1	32%	Agaricomycetes_unidentified_1	32%	Agaricomycetes_sp|SH218253.06FU	32%
ASV_8536	-	Fungi	100%	Basidiomycota	71%	Microbotryomycetes	7%	Sporidiobolales	7%	Incertae_sedis_25	7%	Rhodotorula	7%	Rhodotorula_lamellibrachiae|SH227552.06FU	6%
ASV_8537	+	Fungi	100%	Fungi_unidentified	26%	Fungi_unidentified_1	26%	Fungi_unidentified_1	26%	Fungi_unidentified_1_1	26%	Fungi_unidentified_1_1	26%	Fungi_sp|SH235187.06FU	20%
ASV_8538	-	Fungi	100%	Chytridiomycota	43%	Chytridiomycetes	37%	Chytridiales	12%	Synchytriaceae	10%	Synchytrium	10%	Synchytrium_endobioticum|SH234051.06FU	10%
ASV_8539	+	Fungi	100%	Chytridiomycota	44%	Chytridiomycetes	31%	Chytridiales	16%	Synchytriaceae	16%	Synchytrium	16%	Synchytrium_endobioticum|SH234051.06FU	16%
ASV_8540	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_8541	-	Fungi	100%	Zygomycota	85%	Incertae_sedis_10	85%	Mortierellales	85%	Mortierellaceae	84%	Mortierella	82%	Mortierella_sp|SH218049.06FU	49%
ASV_8542	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_8543	+	Fungi	100%	Ascomycota	96%	Sordariomycetes	89%	Microascales	70%	Microascaceae	68%	Parascedosporium	68%	Parascedosporium_putredinis|SH230144.06FU	68%
ASV_8544	-	Fungi	100%	Zygomycota	74%	Incertae_sedis_10	74%	Mortierellales	74%	Mortierellaceae	74%	Mortierella	73%	Mortierella_sp|SH214852.06FU	64%
ASV_8545	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_8546	+	Fungi	100%	Basidiomycota	83%	Agaricomycetes	82%	Agaricomycetes_unidentified	44%	Agaricomycetes_unidentified_1	44%	Agaricomycetes_unidentified_1	44%	Agaricomycetes_sp|SH199701.06FU	44%
ASV_8547	+	Fungi	100%	Ascomycota	100%	Dothideomycetes	100%	Dothideales	100%	Dothioraceae	100%	Aureobasidium	100%	Aureobasidium_pullulans|SH206631.06FU	52%
ASV_8548	+	Fungi	100%	Ascomycota	79%	Dothideomycetes	31%	Pleosporales	22%	Pleosporales_unidentified	7%	Pleosporales_unidentified_1	7%	Pleosporales_sp|SH240081.06FU	6%
ASV_8549	-	Fungi	100%	Fungi_unidentified	51%	Fungi_unidentified_1	51%	Fungi_unidentified_1	51%	Fungi_unidentified_1_1	51%	Fungi_unidentified_1_1	51%	Fungi_sp|SH237967.06FU	51%
ASV_8550	-	Fungi	95%	Ascomycota	27%	Incertae_sedis_14	14%	Incertae_sedis_15	14%	Incertae_sedis_16	14%	Knufia	11%	Knufia_perforans|SH209750.06FU	11%
ASV_8551	+	Fungi	100%	Ascomycota	70%	Ascomycota_unidentified	18%	Ascomycota_unidentified_1	18%	Ascomycota_unidentified_1	18%	Ascomycota_unidentified_1_1	18%	Ascomycota_sp|SH196610.06FU	4%
ASV_8552	+	Fungi	100%	Basidiomycota	61%	Agaricomycetes	55%	Sebacinales	14%	Sebacinales_unidentified	11%	Sebacinales_unidentified_1	11%	Sebacinales_sp|SH227420.06FU	11%
ASV_8553	-	Fungi	100%	Ascomycota	30%	Incertae_sedis_14	11%	Incertae_sedis_15	11%	Incertae_sedis_16	11%	Pulchromyces	6%	Pulchromyces_fimicola|SH227367.06FU	6%
ASV_8554	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Incertae_sedis_24	100%	Minimedusa	100%	Minimedusa_sp|SH221764.06FU	60%
ASV_8555	-	Fungi	100%	Zygomycota	67%	Incertae_sedis_10	67%	Mortierellales	67%	Mortierellaceae	67%	Mortierella	67%	Mortierella_sp|SH214852.06FU	58%
ASV_8556	+	Fungi	100%	Basidiomycota	86%	Tremellomycetes	75%	Cystofilobasidiales	72%	Cystofilobasidiaceae	72%	Guehomyces	58%	Guehomyces_pullulans|SH215066.06FU	58%
ASV_8557	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Incertae_sedis_24	100%	Minimedusa	100%	Minimedusa_sp|SH221764.06FU	70%
ASV_8558	-	Fungi	100%	Ascomycota	76%	Sordariomycetes	75%	Incertae_sedis_7	40%	Plectosphaerellaceae	40%	Gibellulopsis	38%	Gibellulopsis_sp_YH_2012|SH219656.06FU	38%
ASV_8559	-	Fungi	100%	Basidiomycota	100%	Tremellomycetes	100%	Filobasidiales	100%	Filobasidiaceae	100%	Cryptococcus	100%	Cryptococcus_sp|SH215221.06FU	100%
ASV_8560	+	Fungi	100%	Ascomycota	97%	Incertae_sedis_14	67%	Incertae_sedis_15	67%	Incertae_sedis_16	67%	Retroconis	67%	Retroconis_fusiformis|SH234970.06FU	67%
ASV_8561	-	Fungi	100%	Zygomycota	52%	Incertae_sedis_10	52%	Mortierellales	52%	Mortierellaceae	52%	Mortierella	52%	Mortierella_sp|SH214852.06FU	42%
ASV_8562	+	Fungi	100%	Basidiomycota	92%	Tremellomycetes	78%	Cystofilobasidiales	72%	Cystofilobasidiaceae	72%	Guehomyces	56%	Guehomyces_pullulans|SH215066.06FU	56%
ASV_8563	+	Fungi	100%	Ascomycota	99%	Sordariomycetes	73%	Sordariales	59%	Lasiosphaeriaceae	59%	Lasiosphaeria	43%	Lasiosphaeria_glabrata|SH210817.06FU	43%
ASV_8564	+	Fungi	100%	Fungi_unidentified	53%	Fungi_unidentified_1	53%	Fungi_unidentified_1	53%	Fungi_unidentified_1_1	53%	Fungi_unidentified_1_1	53%	Fungi_sp|SH211529.06FU	53%
ASV_8565	+	Fungi	100%	Fungi_unidentified	57%	Fungi_unidentified_1	57%	Fungi_unidentified_1	57%	Fungi_unidentified_1_1	57%	Fungi_unidentified_1_1	57%	Fungi_sp|SH196428.06FU	26%
ASV_8566	+	Fungi	100%	Zygomycota	61%	Incertae_sedis_10	61%	Mortierellales	61%	Mortierellaceae	61%	Mortierella	60%	Mortierella_sp|SH214852.06FU	44%
ASV_8567	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellales_unidentified	40%	Mortierellales_unidentified_1	40%	Mortierellales_sp|SH228362.06FU	40%
ASV_8568	+	Fungi	100%	Ascomycota	90%	Sordariomycetes	78%	Hypocreales	72%	Nectriaceae	40%	Gibberella	31%	Gibberella_baccata|SH219474.06FU	31%
ASV_8569	+	Fungi	100%	Zygomycota	90%	Incertae_sedis_10	90%	Mortierellales	90%	Mortierellaceae	90%	Mortierella	90%	Mortierella_sarnyensis|SH228364.06FU	64%
ASV_8570	+	Fungi	100%	Ascomycota	100%	Dothideomycetes	38%	Dothideomycetes_unidentified	38%	Dothideomycetes_unidentified_1	38%	Dothideomycetes_unidentified_1	38%	Dothideomycetes_sp|SH216443.06FU	38%
ASV_8571	+	Fungi	100%	Ascomycota	98%	Dothideomycetes	42%	Dothideomycetes_unidentified	40%	Dothideomycetes_unidentified_1	40%	Dothideomycetes_unidentified_1	40%	Dothideomycetes_sp|SH216443.06FU	40%
ASV_8572	+	Fungi	100%	Fungi_unidentified	52%	Fungi_unidentified_1	52%	Fungi_unidentified_1	52%	Fungi_unidentified_1_1	52%	Fungi_unidentified_1_1	52%	Fungi_sp|SH217408.06FU	41%
ASV_8573	-	Fungi	100%	Basidiomycota	67%	Agaricomycetes	57%	Agaricales	47%	Inocybaceae	18%	Inocybaceae_unidentified	8%	Inocybaceae_sp|SH201549.06FU	7%
ASV_8574	-	Fungi	100%	Ascomycota	89%	Leotiomycetes	75%	Helotiales	72%	Incertae_sedis_2	44%	Glarea	43%	Glarea_sp|SH203834.06FU	43%
ASV_8575	-	Fungi	100%	Ascomycota	79%	Sordariomycetes	79%	Sordariales	78%	Chaetomiaceae	78%	Trichocladium	78%	Trichocladium_asperum|SH234966.06FU	78%
ASV_8576	-	Fungi	100%	Basidiomycota	67%	Agaricomycetes	60%	Agaricales	33%	Amanitaceae	6%	Limacella	4%	Limacella_delicata|SH239621.06FU	4%
ASV_8577	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	78%	Mortierella	78%	Mortierella_sp_ATT116|SH218048.06FU	46%
ASV_8578	+	Fungi	100%	Ascomycota	90%	Ascomycota_unidentified	55%	Ascomycota_unidentified_1	55%	Ascomycota_unidentified_1	55%	Ascomycota_unidentified_1_1	55%	Ascomycota_sp|SH222046.06FU	55%
ASV_8579	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Incertae_sedis_24	100%	Minimedusa	100%	Minimedusa_sp|SH221764.06FU	70%
