	CS1-Fungus	CS2-Fungus	CS3-Fungus	FS1-Fungus	FS2-Fungus	FS3-Fungus	SC1-Fungus	SC2-Fungus	SC3-Fungus	WS1-Fungus	WS2-Fungus	WS3-Fungus
ASV_194	0	84	0	615	405	270	27	22	670	0	0	0
ASV_195	1	56	41	596	647	745	0	0	0	0	0	0
ASV_196	0	0	0	2069	0	0	0	0	0	0	0	0
ASV_197	534	0	795	0	0	0	0	0	720	0	0	0
ASV_198	0	0	0	784	797	466	0	0	0	0	0	0
ASV_199	0	0	9	504	831	694	0	0	0	0	0	0
ASV_200	0	0	22	586	821	608	0	0	0	0	0	0
ASV_201	44	89	22	89	139	11	242	223	180	26	874	59
ASV_202	0	0	0	21	0	0	0	0	0	14	0	1939
ASV_203	43	112	432	123	320	216	0	0	374	84	30	230
ASV_204	121	330	443	102	207	55	103	116	118	114	169	85
ASV_205	120	560	955	0	0	0	0	0	0	146	0	170
ASV_206	166	277	321	305	0	296	82	58	40	153	99	138
ASV_207	110	115	57	0	0	73	274	289	372	146	389	92
ASV_208	22	91	23	127	128	13	0	0	94	19	1331	67
ASV_209	74	82	212	0	0	52	0	0	0	148	1251	73
ASV_210	0	0	14	216	776	877	0	0	0	0	0	0
ASV_211	0	0	0	61	0	0	860	860	95	0	0	0
ASV_212	18	134	100	0	0	42	226	245	523	60	279	239
ASV_213	8	9	0	0	0	0	351	344	1001	142	11	0
ASV_214	0	0	0	0	0	0	0	0	0	1850	0	0
ASV_215	0	0	12	0	138	36	638	644	366	0	0	0
ASV_216	41	93	202	165	290	124	27	11	5	92	332	449
ASV_217	5	47	10	0	0	9	303	253	1175	0	0	18
ASV_218	0	0	0	558	618	339	101	109	91	0	0	0
ASV_219	77	109	385	142	342	87	133	139	340	22	29	10
ASV_220	31	57	89	146	150	239	58	68	551	131	129	144
ASV_221	13	11	66	224	313	675	156	194	123	17	0	0
ASV_222	60	89	247	88	144	0	0	0	0	410	202	545
ASV_223	0	0	0	120	76	0	536	503	501	0	0	42
ASV_224	0	9	18	503	756	466	0	0	0	0	0	0
